Region,Mean,Max,Min
R-d23ab,0.428740878328185,0.8084885478019717,-1.8865468620639327e-17
R-31pv,0.35237422147593445,0.6933515667915346,-9.983523320194613e-18
R-5m,0.23725425401786165,0.5613646507263185,-3.7285059075589785e-17
R-5mv,0.32177582225253337,0.8678338527679444,-2.1997595934422036e-17
R-23c,0.30899101367524295,0.6084102988243104,-1.122354129369312e-17
R-5L,0.3366937571180517,0.9317642450332645,-7.553810835981267e-17
R-24dd,0.21191433804674853,0.5592874288558961,-3.2487788192805716e-17
R-24dv,0.14920404721331063,0.34072792530059826,-1.3000625169093244e-17
R-7AL,0.2636843134073474,0.8381089568138125,-1.9059435219077772e-17
R-SCEF,0.15682038462853767,0.40029150247573864,-1.4688519067579484e-17
R-6ma,0.14329489910719062,0.4517440497875215,-2.3047152994219306e-17
R-7Am,0.36592825434271525,1.1826779842376711,-7.4456840337053e-17
R-7PL,0.49245258880767334,1.2684209346771242,-4.3736013962157577e-17
R-7PC,0.2747286572263429,0.8368858098983769,-4.678592679527444e-17
R-LIPv,0.2587050983835842,1.1540592908859253,-4.3582086556854065e-17
R-VIP,0.3814355807319593,1.0957095623016364,-5.498588242854299e-17
Unknown-1050.0,0.30054771114987033,1.1312519311904912,-2.2499737651104994e-17
R-1,0.21022033024326522,0.6493034362792971,-1.99683627602165e-17
R-2,0.18467073191305622,0.7547248601913455,-5.358924103343177e-17
R-3a,0.1899538397857713,0.5854085087776185,-2.0306833247577017e-17
R-6d,0.20232494063918252,0.49732270836830145,-2.2966375426674085e-17
R-6mp,0.15983858835322656,0.5242210030555726,-4.86505652693302e-17
R-6v,0.1602772936353653,0.38530793786048906,-9.852263784985029e-18
R-p24pr,0.21749355249944968,0.5762824416160586,-3.5180508207338084e-17
R-33pr,0.13694586523763905,0.4545942544937135,-1.2287857230052637e-17
R-a24pr,0.16538393999655956,0.35525760054588335,-8.390044083400017e-18
R-p32pr,0.12780892285161524,0.2962642014026643,-1.2963734583077053e-17
R-a24,0.12347526179780115,0.22731877863407146,-4.725396634303587e-18
R-d32,0.0973885654201777,0.2708938121795655,-6.4698079678707785e-18
R-8BM,0.10559086561333766,0.2393986433744432,-2.00467647081838e-17
R-p32,0.08756984291793932,0.19105467200279241,-6.913663622409857e-18
R-10r,0.10908631344961907,0.19966721534729012,-5.2241673175599605e-18
R-47m,0.12130887837501649,0.23581518232822432,-4.798535542372647e-18
R-8Av,0.12132825105195634,0.3043051660060883,-1.7423185212137755e-17
R-8Ad,0.0875242613685903,0.22379863262176525,-9.023381131166115e-18
R-9m,0.0698401522802563,0.18669201433658605,-1.2048521764344511e-17
R-8BL,0.08063215431251222,0.21298702061176303,-1.2303098040750611e-17
R-9p,0.06101941927842025,0.19865371286869055,-5.348087033966026e-18
R-10d,0.05719955212616322,0.1643604934215546,-1.1940488506671337e-17
R-8C,0.0844786836748047,0.2873443067073823,-2.743322288430296e-17
R-44,0.11409586792261414,0.23998710513114938,-8.313177153260091e-18
R-45,0.09839928200519242,0.23977741599082952,-1.7235607429350326e-17
